"Timestamp","Veuillez choisir un département ou « Toute la France »","De combien de personnes pensez-vous connaître l'état de santé dans cette région géographique ?","À votre connaissance, combien des personnes ci-dessus ont été diagnostiquées avec la COVID-19 ou ont eu, ou ont toujours, des symptômes compatibles avec la maladie (https://www.gouvernement.fr/info-coronavirus#informations) ?"
"2020/03/30 7:50:51 am EET","35 Ille-et-Vilaine","100","1"
"2020/03/30 8:55:06 am EET","35 Ille-et-Vilaine","50","0"
"2020/03/30 9:05:26 am EET","35 Ille-et-Vilaine","50","1"
"2020/03/30 9:06:21 am EET","35 Ille-et-Vilaine","100","5"
"2020/03/30 9:11:37 am EET","Toute la France","20","12"
"2020/03/30 9:40:48 am EET","35 Ille-et-Vilaine","100","4"
"2020/03/30 9:46:42 am EET","35 Ille-et-Vilaine","100","0"
"2020/03/30 9:59:03 am EET","35 Ille-et-Vilaine","100","2"
"2020/03/30 10:41:52 am EET","44 Loire-Atlantique","100","3"
"2020/03/30 11:13:32 am EET","49 Maine-et-Loire","30","4"
"2020/03/30 11:33:11 am EET","59 Nord","200","5"
"2020/03/30 12:15:05 pm EET","35 Ille-et-Vilaine","100","5"
"2020/03/30 1:28:36 pm EET","Toute la France","20","1"
"2020/03/30 2:27:42 pm EET","66 Pyrénées-Orientales","40","3"
"2020/03/30 2:50:14 pm EET","69 Rhône","100","1"
"2020/03/30 3:00:34 pm EET","35 Ille-et-Vilaine","100","2"
"2020/03/30 8:45:37 pm EET","69 Rhône","20","0"
"2020/03/31 12:14:11 am EET","33 Gironde","50","5"
"2020/03/31 12:24:56 am EET","33 Gironde","100","1"
"2020/03/31 1:02:17 am EET","33 Gironde","10","0"
"2020/03/31 7:50:02 am EET","59 Nord","200","5"
"2020/03/31 8:52:36 am EET","33 Gironde","100","2"
"2020/03/31 9:15:45 am EET","35 Ille-et-Vilaine","150","1"
"2020/03/31 12:35:34 pm EET","33 Gironde","3","0"
"2020/04/01 7:08:51 am EET","Toute la France","100","3"
"2020/04/01 11:19:07 am EET","35 Ille-et-Vilaine","100","3"
"2020/04/01 11:41:32 am EET","44 Loire-Atlantique","100","3"
"2020/04/01 11:42:42 am EET","Toute la France","50","2"
"2020/04/01 12:07:31 pm EET","Toute la France","15","0"
"2020/04/01 12:35:58 pm EET","91 Essonne","50","2"
"2020/04/01 12:40:21 pm EET","Toute la France","100","5"
"2020/04/01 2:26:00 pm EET","Toute la France","10","0"
"2020/04/01 3:16:17 pm EET","75 Paris","100","2"
