Timestamp,"Por favor, escolha um distrito/região.",Quantas pessoas conhece nessa área geográfica?,"De acordo com o seu conhecimento, quantas destas pessoas apresentam sintomas compatíveis com COVID-19 (ou foram diagnosticadas com esta doença)?"
3/24/2020 12:52:32,Braga,2000,3
3/24/2020 12:57:09,Braga,50,0
3/24/2020 13:00:31,Aveiro,200,0
3/24/2020 13:17:47,Todo o país,100,0
3/24/2020 13:20:12,Porto,25,1
3/24/2020 13:22:00,Porto,500,0
3/24/2020 13:26:42,Porto,40,3
3/24/2020 13:51:31,Todo o país,100,0
3/24/2020 13:58:42,Braga,100,1
3/24/2020 14:07:47,Todo o país,100,2
3/24/2020 14:08:23,Porto,60,3
3/24/2020 14:10:02,Braga,100,0
3/24/2020 14:44:50,Braga,100,0
3/24/2020 14:53:18,Braga,50,50
3/24/2020 15:00:05,Braga,20,0
3/24/2020 15:08:28,Porto,1000,0
3/24/2020 15:53:48,Braga,5000,1
3/24/2020 18:50:53,Porto,100,0
3/24/2020 19:58:48,Porto,100,0
3/24/2020 20:25:35,Porto,50,0
3/24/2020 20:47:46,Braga,100,1
3/24/2020 21:34:35,Todo o país,100,0
3/24/2020 22:17:17,Porto,60,0
3/24/2020 23:53:38,Porto,500,1
3/25/2020 1:39:35,Porto,100,1
3/25/2020 10:53:32,Vila Real,5,0
3/25/2020 12:26:48,Braga,50,0
3/25/2020 12:59:06,Porto,150,1
3/25/2020 14:34:23,Porto,100,0
3/25/2020 14:59:57,Braga,1000,2
3/25/2020 15:02:05,Braga,1500,13
