Timestamp,Περιοχή,Πόσα άτομα γνωρίζετε στην Κύπρο για τα οποία πιθανόν να είστε ενήμεροι για την τρέχουσα κατάσταση της υγείας τους;,"Εξ όσων γνωρίζετε, πόσα απο τα πιο πάνω άτομα έχουν συμπτώματα του #COVID19 (ή έχουν διαγνωστεί με την ασθένεια); [εισάγετε 0 για κανένα]"
2020/03/27 2:32:33 PM GMT+3,,10,0
2020/03/27 2:56:13 PM GMT+3,,20,0
2020/03/27 3:31:01 PM GMT+3,,40,0
2020/03/27 3:32:05 PM GMT+3,,30,0
2020/03/27 3:34:38 PM GMT+3,,20,0
2020/03/27 3:45:22 PM GMT+3,,32,0
2020/03/27 3:46:18 PM GMT+3,,20,1
2020/03/27 3:47:40 PM GMT+3,,20,0
2020/03/27 3:50:29 PM GMT+3,,30,0
2020/03/27 3:56:41 PM GMT+3,,500,0
2020/03/27 4:00:02 PM GMT+3,,20,0
2020/03/27 4:01:06 PM GMT+3,,15,5
2020/03/27 4:01:43 PM GMT+3,,15,5
2020/03/27 4:02:29 PM GMT+3,,40,0
2020/03/27 4:08:36 PM GMT+3,,13,0
2020/03/27 4:12:01 PM GMT+3,,300,0
2020/03/27 4:14:16 PM GMT+3,,25,0
2020/03/27 4:15:17 PM GMT+3,,9,0
2020/03/27 4:16:06 PM GMT+3,,10,1
2020/03/27 4:24:26 PM GMT+3,,46,0
2020/03/27 4:26:59 PM GMT+3,,20,19
2020/03/27 4:28:02 PM GMT+3,,50,0
2020/03/27 4:43:40 PM GMT+3,,15,0
2020/03/27 4:45:55 PM GMT+3,,100,99
2020/03/27 4:46:55 PM GMT+3,,900,400
2020/03/27 4:47:17 PM GMT+3,,20,0
2020/03/27 4:53:18 PM GMT+3,,50,0
2020/03/27 5:10:41 PM GMT+3,,10,0
2020/03/27 5:20:57 PM GMT+3,,7,0
2020/03/27 5:44:55 PM GMT+3,,50,0
2020/03/27 5:46:59 PM GMT+3,,60,0
2020/03/27 5:48:27 PM GMT+3,,60,0
2020/03/27 8:34:13 PM GMT+3,,1600,0
2020/03/27 8:34:23 PM GMT+3,,1600,0
2020/03/27 8:35:08 PM GMT+3,,10,0
2020/03/27 9:59:03 PM GMT+3,,30,0
2020/03/27 10:19:38 PM GMT+3,,20,0
2020/03/28 1:52:07 AM GMT+3,,300,0
2020/03/28 2:05:18 AM GMT+3,,20,0
2020/03/28 4:50:32 AM GMT+3,,200,0
2020/03/28 9:40:20 AM GMT+3,,30,0
2020/03/28 11:45:48 AM GMT+3,,40,0
2020/03/28 12:42:12 PM GMT+3,,50,0
2020/03/28 5:34:40 PM GMT+3,,7,0
2020/03/28 6:29:58 PM GMT+3,,50,0
2020/03/28 6:54:54 PM GMT+3,,20,0
2020/03/28 8:19:07 PM GMT+3,,1560,0
2020/03/28 8:21:33 PM GMT+3,,5,0
2020/03/28 8:28:45 PM GMT+3,,1500,0
2020/03/28 8:36:22 PM GMT+3,,50,0
2020/03/28 11:19:02 PM GMT+3,,10,0
