Prevalencia de anticuerpos IgG anti SARS-Cov2 según características de los participantes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Totales,NA,NA,NA,Hombres,NA,NA,NA,Mujeres,NA,NA,NA
NA,Nº,%,IC,0.95,Nº,%,IC,0.95,Nº,%,IC,0.95
Total,60897.0,5.0,4.7,5.4,29255.0,5.0,4.6,5.4,31642.0,5.1,4.7,5.5
Edad,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
<1,268.0,1.1,0.3,3.8,131.0,1.6,0.3,7.9,137.0,0.5,0.1,2.1
43834.0,1693.0,2.2,1.4,3.6,865.0,2.0,1.1,3.6,828.0,2.5,1.2,4.9
43960.0,2857.0,3.0,2.3,4.1,1534.0,3.5,2.4,5.1,1323.0,2.5,1.6,3.9
44118.0,3425.0,3.9,3.1,4.9,1734.0,3.7,2.7,5.1,1691.0,4.2,3.1,5.6
15-19,3221.0,3.8,3.0,4.9,1590.0,3.3,2.4,4.7,1631.0,4.3,3.2,5.7
20-24,2805.0,4.5,3.5,5.7,1399.0,4.4,3.2,6.1,1406.0,4.6,3.2,6.4
25-29,2606.0,4.8,3.7,6.1,1251.0,4.4,3.1,6.1,1355.0,5.1,3.6,7.3
30-34,3050.0,3.8,2.9,4.9,1437.0,3.9,2.7,5.5,1613.0,3.7,2.6,5.2
35-39,4000.0,4.6,3.8,5.6,1942.0,4.9,3.7,6.4,2058.0,4.4,3.4,5.6
40-44,5174.0,5.3,4.5,6.2,2456.0,5.2,4.2,6.5,2718.0,5.3,4.3,6.5
45-49,5330.0,5.7,4.9,6.7,2594.0,5.4,4.3,6.8,2736.0,6.0,4.9,7.2
50-54,5263.0,5.8,4.9,6.9,2495.0,6.0,4.8,7.6,2768.0,5.6,4.6,6.7
55-59,5187.0,6.1,5.2,7.2,2416.0,5.8,4.8,7.1,2771.0,6.3,5.2,7.8
60-64,4560.0,5.9,5.0,7,2233.0,5.9,4.8,7.3,2327.0,5.9,4.8,7.4
65-69,3568.0,6.2,5.1,7.4,1729.0,6.1,4.7,7.8,1839.0,6.2,4.9,7.8
70-74,2931.0,6.9,5.7,8.3,1356.0,6.9,5.3,8.8,1575.0,6.9,5.4,8.8
75-79,2161.0,6.1,4.8,7.7,999.0,7.0,5.1,9.4,1162.0,5.4,3.9,7.4
80-84,1410.0,5.1,3.8,6.9,576.0,5.9,3.8,9.1,834.0,4.6,3.1,6.6
85-89,968.0,5.6,3.8,8.2,371.0,5.2,2.7,9.5,597.0,5.9,3.6,9.3
≥90,420.0,5.8,3.2,10,147.0,6.2,2.315.5,273,5.6,2.711.1,NA,NA
Enf. crónicas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
No,38672.0,4.7,4.3,5.1,18589.0,4.6,4.2,5.1,20083.0,4.7,4.3,5.2
Sí,22225.0,5.7,5.3,6.2,10666.0,5.7,5.1,6.3,11559.0,5.8,5.2,6.5
Situación laboral,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trabajador/a en activo,25713.0,5.8,5.4,6.3,13610.0,5.5,5.0,6.1,12103.0,6.2,5.6,6.8
Desempleado/a,4465.0,3.3,2.6,4.1,1900.0,3.8,2.8,5,2565.0,2.9,2.1,3.9
Estudiante,11628.0,3.6,3.1,4.1,5809.0,3.5,2.9,4.2,5819.0,3.7,3.1,4.5
Jubilado/a o retirado,11875.0,6.1,5.5,6.9,6106.0,6.3,5.5,7.1,5769.0,6.0,5.2,6.9
Incapacidad laboral,1473.0,4.2,3.0,6,664.0,4.0,2.5,6.4,809.0,4.4,2.8,6.9
Tareas del hogar,3366.0,4.5,3.6,5.5,52.0,2.4,0.3,15.7,3314.0,4.5,3.6,5.5
Actividades benéficas,51.0,3.7,0.9,14.7,11.0,0.0,NA,NA,40.0,4.7,1.1,18.2
Otra,2318.0,3.1,2.3,4.3,1101.0,3.0,1.9,4.7,1217.0,3.3,2.2,4.7
Trabajador esencial*,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
No,12021.0,6.3,5.7,7,5526.0,6.1,5.2,7,6495.0,6.6,5.8,7.4
Sí,13691.0,5.3,4.8,5.9,8083.0,5.1,4.4,5.8,5608.0,5.7,4.9,6.6
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IC 95%: intervalo de confianza al 95%.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
* Incluye sólo los trabajadores en activo.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
