Prevalencia de anticuerpos IgG anti SARS-COv2 por provincia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Provincia,Total,NA,NA,NA,NA,Hombres,NA,NA,NA,NA,Mujeres,NA,NA,NA,NA
NA,Nº,%,IC 95%,NA,NA,Nº,%,IC 95%,NA,NA,Nº,%,IC 95%,NA,NA
Araba/Álava,686.0,7.2,5.2,-,9.9,341.0,6.9,4.4,-,10.7,345.0,7.5,5.2,-,10.8
Albacete,1059.0,11.6,8.7,-,15.2,508.0,10.3,7.6,-,13.8,551.0,12.9,9.4,-,17.4
Alicante/Alacant,1573.0,2.7,2.0,-,3.6,754.0,3.3,2.3,-,4.7,819.0,2.1,1.3,-,3.4
Almería,985.0,1.8,0.9,-,3.7,463.0,2.6,1.2,-,5.6,522.0,1.0,0.4,-,2.4
Ávila,665.0,6.9,4.7,-,10,338.0,5.6,3.4,-,9.3,327.0,8.1,5.3,-,12.4
Badajoz,1585.0,2.6,1.7,-,3.8,794.0,2.7,1.6,-,4.6,791.0,2.4,1.5,-,3.9
"Balears, Illes",1356.0,2.4,1.6,-,3.5,653.0,1.9,1.1,-,3.3,703.0,2.8,1.7,-,4.7
Barcelona,3693.0,7.1,5.9,-,8.5,1760.0,7.3,5.7,-,9.2,1933.0,6.9,5.6,-,8.4
Burgos,883.0,5.3,3.7,-,7.7,437.0,5.0,2.9,-,8.4,446.0,5.7,3.7,-,8.5
Cáceres,1202.0,3.7,2.3,-,5.9,595.0,3.0,1.8,-,4.9,607.0,4.4,2.5,-,7.5
Cádiz,1382.0,1.7,1.1,-,2.7,658.0,1.0,0.5,-,2,724.0,2.4,1.4,-,4.1
Castellón/Castelló,801.0,2.8,1.4,-,5.7,388.0,2.2,0.8,-,5.9,413.0,3.4,1.6,-,7.1
Ciudad Real,1162.0,11.1,8.3,-,14.8,566.0,9.6,6.7,-,13.6,596.0,12.6,9.4,-,16.7
Córdoba,1118.0,2.4,1.4,-,3.9,518.0,2.6,1.5,-,4.5,600.0,2.2,1.1,-,4.2
"Coruña, A",1275.0,1.8,1.2,-,2.7,583.0,1.6,0.8,-,3.2,692.0,1.9,1.1,-,3.4
Cuenca,850.0,13.5,10.8,-,16.9,433.0,13.6,10.8,-,17.1,417.0,13.5,9.9,-,18.1
Girona,904.0,2.5,1.7,-,3.6,437.0,2.0,1.1,-,3.6,467.0,3.0,2.0,-,4.3
Granada,1007.0,2.4,1.4,-,4,463.0,2.8,1.5,-,5.1,544.0,2.0,1.0,-,3.9
Guadalajara,815.0,10.9,8.1,-,14.4,393.0,9.0,5.8,-,13.7,422.0,12.8,9.3,-,17.4
Gipuzkoa,950.0,2.8,1.7,-,4.4,463.0,2.9,1.6,-,5.3,487.0,2.6,1.5,-,4.5
Huelva,929.0,1.5,0.7,-,3.3,432.0,1.6,0.6,-,4,497.0,1.4,0.6,-,3.1
Huesca,732.0,4.1,2.2,-,7.6,346.0,4.8,2.4,-,9.4,386.0,3.4,1.4,-,7.8
Jaén,1056.0,3.6,2.5,-,5.3,501.0,4.0,2.2,-,7,555.0,3.3,2.0,-,5.3
León,884.0,7.0,4.8,-,10,424.0,6.2,3.8,-,9.9,460.0,7.8,5.1,-,11.7
Lleida,710.0,3.7,2.4,-,5.7,329.0,3.9,2.0,-,7.2,381.0,3.5,2.2,-,5.6
"Rioja, La",1323.0,3.3,2.4,-,4.4,642.0,3.4,2.3,-,5.1,681.0,3.1,2.0,-,5
Lugo,814.0,2.3,1.2,-,4.2,393.0,1.8,0.9,-,3.4,421.0,2.7,1.2,-,6
Madrid,3185.0,11.3,9.8,-,13,1547.0,11.3,9.4,-,13.4,1638.0,11.3,9.6,-,13.3
Málaga,1463.0,4.4,2.9,-,6.5,695.0,4.2,2.8,-,6.3,768.0,4.5,2.8,-,7.1
Murcia,1387.0,1.4,0.8,-,2.4,651.0,1.3,0.7,-,2.7,736.0,1.5,0.7,-,3.2
Navarra,1737.0,5.8,4.3,-,7.6,875.0,6.0,4.2,-,8.6,862.0,5.5,3.9,-,7.7
Ourense,686.0,2.8,1.9,-,4.2,317.0,3.3,1.7,-,6.4,369.0,2.4,1.1,-,4.8
Asturias,1545.0,1.8,1.3,-,2.5,713.0,1.9,1.1,-,3.3,832.0,1.7,1.2,-,2.5
Palencia,740.0,6.4,4.7,-,8.8,366.0,5.8,3.9,-,8.5,374.0,7.1,5.1,-,9.7
"Palmas, Las",1242.0,1.4,0.9,-,2.2,570.0,2.0,1.1,-,3.5,672.0,0.8,0.3,-,2
Pontevedra,1295.0,2.3,1.7,-,3,609.0,2.4,1.5,-,3.9,686.0,2.1,1.3,-,3.6
Salamanca,807.0,7.9,5.5,-,11.1,386.0,9.0,6.1,-,13,421.0,6.8,4.3,-,10.6
Santa Cruz de Tenerife,1082.0,2.1,1.0,-,4.2,507.0,2.0,1.0,-,4,575.0,2.1,0.9,-,4.8
Cantabria,1504.0,3.2,2.1,-,5,731.0,2.3,1.4,-,3.8,773.0,4.0,2.4,-,6.7
Segovia,539.0,12.6,10.1,-,15.6,264.0,10.6,7.4,-,14.9,275.0,14.6,11.4,-,18.6
Sevilla,1786.0,2.3,1.6,-,3.5,877.0,2.3,1.6,-,3.4,909.0,2.4,1.3,-,4.2
Soria,705.0,14.2,11.5,-,17.4,357.0,11.5,8.4,-,15.6,348.0,16.9,13.2,-,21.4
Tarragona,1011.0,1.6,1.0,-,2.6,492.0,2.5,1.5,-,4.1,519.0,0.8,0.3,-,2
Teruel,685.0,3.3,1.7,-,6.3,345.0,2.8,1.4,-,5.3,340.0,3.9,1.9,-,8
Toledo,1180.0,9.3,6.6,-,12.9,585.0,9.1,6.3,-,12.8,595.0,9.5,6.2,-,14.2
Valencia/València,1912.0,2.3,1.5,-,3.5,922.0,2.5,1.6,-,4.1,990.0,2.0,1.2,-,3.4
Valladolid,1082.0,6.0,4.2,-,8.4,501.0,5.2,3.7,-,7.3,581.0,6.8,4.5,-,10
Bizkaia,1194.0,3.9,2.5,-,5.9,575.0,3.2,1.9,-,5.4,619.0,4.5,2.8,-,7.3
Zamora,644.0,5.9,3.5,-,10,316.0,5.6,3.1,-,10,328.0,6.3,3.2,-,11.9
Zaragoza,1331.0,5.3,4.0,-,7.1,631.0,5.5,3.9,-,7.5,700.0,5.2,3.6,-,7.4
Ceuta,829.0,1.1,0.5,-,2.3,376.0,1.3,0.5,-,3.3,453.0,1.0,0.5,-,2.1
Melilla,927.0,1.9,1.2,-,2.9,435.0,1.6,0.7,-,3.9,492.0,2.1,1.2,-,3.7
