Anexo 1: Prevalencia anticuerpos IgG anti SARS-Cov2 por semana,NA,NA,NA,NA,NA,NA,NA,NA
NA,Semana1,NA,NA,NA,Semana2,NA,NA,NA
Provincias,Nº,%,IC,0.95,Nº,%,IC,0.95
Araba/Álava,348.0,6.3,4.2,9.6,338.0,8.2,5.4,12.1
Albacete,516.0,13.0,9.2,18.1,543.0,10.2,7.1,14.3
Alicante/Alacant,798.0,2.6,1.6,4.2,775.0,2.8,1.9,4
Almería,505.0,1.5,0.7,3,480.0,2.2,0.8,5.5
Ávila,294.0,6.8,4.0,11.3,371.0,7.0,4.4,10.8
Badajoz,800.0,3.0,1.7,5.1,785.0,2.2,1.2,3.8
"Balears, Illes",675.0,2.8,1.7,4.6,681.0,2.0,1.1,3.4
Barcelona,1805.0,6.2,4.7,8,1888.0,8.0,6.4,9.9
Burgos,421.0,4.7,2.5,8.8,462.0,5.9,4.0,8.6
Cáceres,591.0,2.9,1.6,5.2,611.0,4.4,2.3,8.3
Cádiz,694.0,2.5,1.5,4.1,688.0,1.0,0.4,2
Castellón/Castelló,381.0,2.9,1.1,7.7,420.0,2.7,1.4,5.2
Ciudad Real,551.0,10.9,7.3,16,611.0,11.3,8.1,15.5
Córdoba,558.0,2.9,1.5,5.4,560.0,1.9,0.9,4
"Coruña, A",622.0,2.0,1.1,3.7,653.0,1.5,0.8,2.8
Cuenca,414.0,11.6,8.7,15.1,436.0,15.4,11.5,20.3
Girona,425.0,0.9,0.3,2.8,479.0,3.9,2.6,5.8
Granada,491.0,1.6,0.7,3.5,516.0,3.1,1.8,5.4
Guadalajara,368.0,9.4,5.3,15.9,447.0,12.1,9.0,16.1
Gipuzkoa,479.0,2.0,0.7,5.5,471.0,3.5,2.1,5.9
Huelva,462.0,1.1,0.5,2.5,467.0,1.9,0.5,6.2
Huesca,384.0,5.2,2.7,9.8,348.0,2.8,1.4,5.8
Jaén,515.0,3.7,1.8,7.6,541.0,3.5,2.5,4.9
León,395.0,9.2,5.1,16.1,489.0,5.2,3.5,7.7
Lleida,325.0,4.7,2.6,8.4,385.0,2.8,1.4,5.7
"Rioja, La",661.0,3.3,2.1,5.4,662.0,3.2,2.1,4.9
Lugo,412.0,1.4,0.4,4.9,402.0,3.2,1.6,6.1
Madrid,1429.0,11.5,9.2,14.3,1756.0,11.1,9.3,13.3
Málaga,754.0,2.5,1.4,4.4,709.0,6.3,4.1,9.6
Murcia,715.0,1.2,0.5,2.7,672.0,1.7,0.8,3.3
Navarra,896.0,5.8,4.1,8.3,841.0,5.7,3.9,8.3
Ourense,337.0,3.0,1.8,5.1,349.0,2.6,1.4,4.9
Asturias,706.0,2.0,1.3,3.1,839.0,1.6,0.8,3.1
Palencia,358.0,7.1,5.0,9.9,382.0,5.8,3.3,10
"Palmas, Las",558.0,1.9,1.0,3.5,684.0,1.0,0.4,2.1
Pontevedra,635.0,2.3,1.4,3.8,660.0,2.2,1.4,3.6
Salamanca,394.0,7.3,4.5,11.7,413.0,8.4,5.3,13
Santa Cruz de Tenerife,491.0,2.3,1.1,4.7,591.0,1.9,0.8,4.6
Cantabria,761.0,3.6,2.1,6.1,743.0,2.8,1.4,5.4
Segovia,199.0,16.8,12.2,22.6,340.0,10.2,7.0,14.6
Sevilla,908.0,2.3,1.6,3.3,878.0,2.4,1.2,4.8
Soria,358.0,14.2,11.0,18.1,347.0,14.2,10.7,18.7
Tarragona,469.0,1.4,0.6,2.9,542.0,1.8,0.9,3.8
Teruel,342.0,2.4,1.0,5.4,343.0,4.3,2.1,8.7
Toledo,556.0,7.2,4.3,11.6,624.0,11.1,7.3,16.5
Valencia/València,880.0,2.6,1.5,4.5,1032.0,2.0,1.0,4
Valladolid,532.0,5.3,3.1,9,550.0,6.6,4.3,10.2
Bizkaia,629.0,4.0,2.2,7.1,565.0,3.8,2.4,5.8
Zamora,311.0,7.9,3.5,16.8,333.0,4.1,2.3,7.1
Zaragoza,665.0,4.5,3.1,6.5,666.0,6.1,3.8,9.7
Ceuta,384.0,2.1,0.9,5,445.0,0.3,0.1,1.2
Melilla,481.0,2.4,1.4,4.1,446.0,1.3,0.6,2.7
