Anexo 2: Resultados anticuerpos totales (IgM ó IgG) anti SARS-Cov2,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Total,NA,NA,Hombres,NA,NA,Mujeres,NA,NA
Provincias,%,IC,0.95,%,IC,0.95,%,IC,0.95
Araba/Álava,8.1,6.1,10.7,8.0,5.4,11.7,8.3,6.0,11.4
Albacete,12.6,9.8,16.1,11.1,8.5,14.4,14.2,10.6,18.7
Alicante/Alacant,3.3,2.5,4.3,3.5,2.5,4.9,3.1,2.2,4.3
Almería,2.3,1.3,3.9,2.8,1.4,5.6,1.8,1.0,3.2
Ávila,7.6,5.2,11,6.9,4.3,10.9,8.4,5.3,12.9
Badajoz,2.9,1.9,4.2,3.0,1.7,5.1,2.8,1.8,4.2
"Balears, Illes",2.9,2.1,4,2.5,1.6,3.8,3.4,2.1,5.3
Barcelona,7.4,6.2,8.9,7.5,6.0,9.4,7.3,6.0,8.9
Burgos,5.6,3.8,8,5.5,3.2,9.2,5.7,3.7,8.5
Cáceres,4.8,3.1,7.2,4.8,2.9,8.1,4.7,2.9,7.7
Cádiz,1.8,1.2,2.9,1.1,0.6,2.3,2.5,1.4,4.5
Castellón/Castelló,3.2,1.7,5.8,2.7,1.2,6,3.7,1.9,7.2
Ciudad Real,12.4,9.3,16.3,11.2,8.2,15,13.5,10.0,18.1
Córdoba,3.0,2.0,4.5,3.0,1.9,4.7,3.0,1.8,5.1
"Coruña, A",2.1,1.4,3.1,1.6,0.8,3.2,2.5,1.4,4.4
Cuenca,14.7,11.9,18,15.5,12.2,19.4,13.9,10.3,18.5
Girona,4.0,2.6,6,3.2,1.9,5.3,4.7,2.9,7.8
Granada,2.7,1.7,4.2,2.8,1.5,5.1,2.6,1.4,4.5
Guadalajara,11.3,8.3,15.1,9.3,6.0,14.1,13.3,9.6,18.2
Gipuzkoa,3.7,2.4,5.9,3.8,2.2,6.5,3.7,2.2,6.1
Huelva,1.6,0.8,3.4,1.8,0.7,4.4,1.4,0.6,3.1
Huesca,15.4,10.7,21.8,18.1,12.1,26.2,12.7,8.3,19
Jaén,4.1,2.8,6.1,4.7,2.6,8.2,3.6,2.3,5.5
León,7.7,5.5,10.7,7.1,4.5,11,8.3,5.6,12.2
Lleida,3.9,2.5,6.1,4.2,2.2,7.9,3.7,2.3,6
"Rioja, La",4.0,3.0,5.2,3.9,2.6,5.8,4.1,2.7,6.2
Lugo,2.5,1.3,4.6,1.8,0.9,3.4,3.1,1.4,7
Madrid,12.0,10.4,13.7,12.0,10.2,14.2,11.9,10.1,13.9
Málaga,4.9,3.3,7.1,5.0,3.4,7.4,4.7,3.0,7.3
Murcia,3.0,1.7,5.1,3.1,1.7,5.7,2.8,1.5,5.2
Navarra,7.6,5.5,10.4,8.1,5.7,11.5,7.0,4.8,10.3
Ourense,3.3,2.1,4.9,4.2,2.4,7.3,2.4,1.1,4.8
Asturias,2.1,1.6,2.9,2.2,1.3,3.6,2.0,1.5,2.8
Palencia,7.7,5.8,10.3,7.1,4.8,10.3,8.4,6.2,11.3
"Palmas, Las",3.1,1.5,6.4,3.4,1.8,6.4,2.9,1.1,7
Pontevedra,2.6,2.0,3.5,2.9,1.8,4.7,2.4,1.5,3.8
Salamanca,10.0,6.8,14.6,10.8,7.0,16.2,9.3,6.1,13.9
Santa Cruz de Tenerife,2.2,1.2,4.2,2.3,1.3,4.3,2.1,0.9,4.8
Cantabria,3.9,2.6,5.8,2.8,1.8,4.4,4.8,3.0,7.7
Segovia,12.8,10.3,15.7,10.6,7.4,14.9,15.0,11.6,19.1
Sevilla,2.7,1.9,3.8,2.8,1.9,4.1,2.6,1.5,4.4
Soria,16.3,13.3,19.9,13.1,9.6,17.7,19.6,15.2,24.8
Tarragona,1.9,1.3,2.9,3.0,2.0,4.7,0.8,0.3,2
Teruel,7.5,4.6,12,7.3,4.4,12.1,7.7,4.6,12.5
Toledo,10.4,7.3,14.6,10.6,7.1,15.4,10.2,6.9,15
Valencia/València,3.3,2.1,5.1,3.3,2.0,5.3,3.3,2.1,5.3
Valladolid,6.5,4.5,9.3,5.7,4.0,7.9,7.3,4.7,11.3
Bizkaia,4.3,2.9,6.3,3.2,1.9,5.4,5.3,3.5,8
Zamora,8.0,5.3,12.1,8.0,5.4,11.6,8.1,4.6,13.9
Zaragoza,8.0,6.0,10.6,7.4,5.6,9.8,8.6,6.0,12.2
Ceuta,1.6,0.9,2.8,1.5,0.6,3.5,1.6,0.9,3
Melilla,2.4,1.5,3.7,2.1,0.9,4.8,2.7,1.8,4.1
