Prevalencia de anticuerpos IgG anti SARS-COv2 nacional y por Comunidad Autónoma,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Total,NA,NA,NA,Hombres/Men,NA,NA,NA,Mujeres/Women,NA,NA,NA
NA,Num,%,IC 95%,NA,Num,%,IC 95%,NA,Num,%,IC 95%,NA
Total nacional,60897.0,5.0,4.7,5.4,29255.0,5.0,4.6,5.4,31642.0,5.1,4.7,5.5
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andalucía,9726.0,2.7,2.2,3.2,4607.0,2.7,2.2,3.3,5119.0,2.6,2.2,3.3
Aragón,2748.0,4.9,3.8,6.3,1322.0,5.1,3.8,6.7,1426.0,4.8,3.5,6.5
"Asturias,_Principado_de",1545.0,1.8,1.3,2.5,713.0,1.9,1.1,3.3,832.0,1.7,1.2,2.5
"Balears,_Illes",1356.0,2.4,1.6,3.5,653.0,1.9,1.1,3.3,703.0,2.8,1.7,4.7
Canarias,2324.0,1.8,1.1,2.8,1077.0,2.0,1.3,3.2,1247.0,1.5,0.8,2.9
Cantabria,1504.0,3.2,2.1,5,731.0,2.3,1.4,3.8,773.0,4.0,2.4,6.7
Castilla_y_León,6949.0,7.2,6.3,8.1,3389.0,6.6,5.6,7.6,3560.0,7.7,6.7,9
Castilla-La_Mancha,5066.0,10.8,9.3,12.4,2485.0,9.9,8.4,11.6,2581.0,11.7,9.9,13.7
Cataluña,6318.0,5.9,4.9,6.9,3018.0,6.0,4.9,7.4,3300.0,5.7,4.7,6.9
Comunitat_Valenciana,4286.0,2.5,1.9,3.2,2064.0,2.8,2.1,3.7,2222.0,2.2,1.6,3.1
Extremadura,2787.0,3.0,2.2,4.1,1389.0,2.8,1.9,4.1,1398.0,3.2,2.2,4.5
Galicia,4070.0,2.1,1.7,2.6,1902.0,2.1,1.5,2.9,2168.0,2.2,1.6,3
"Madrid,_Comunidad_de",3185.0,11.3,9.8,13,1547.0,11.3,9.4,13.4,1638.0,11.3,9.6,13.3
"Murcia,_Región_de",1387.0,1.4,0.8,2.4,651.0,1.3,0.7,2.7,736.0,1.5,0.7,3.2
"Navarra,_Comunidad_Foral_de",1737.0,5.8,4.3,7.6,875.0,6.0,4.2,8.6,862.0,5.5,3.9,7.7
País_Vasco,2830.0,4.0,3.1,5.2,1379.0,3.7,2.7,5,1451.0,4.3,3.2,5.9
"Rioja,_La",1323.0,3.3,2.4,4.4,642.0,3.4,2.3,5.1,681.0,3.1,2.0,5
Ceuta,829.0,1.1,0.5,2.3,376.0,1.3,0.5,3.3,453.0,1.0,0.5,2.1
Melilla,927.0,1.9,1.2,2.9,435.0,1.6,0.7,3.9,492.0,2.1,1.2,3.7
