Prevalencia de anticuerpos IgG anti SARS-Cov2 según características de los participantes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Totales,NA,NA,NA,Hombres,NA,NA,NA,Mujeres,NA,NA,NA
NA,Nº,%,IC,0.95,Nº,%,IC,0.95,Nº,%,IC,0.95
Antecedentes de PCR positiva,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
No,60640.0,4.7,4.4,5,29150.0,4.7,4.3,5.1,31490.0,4.8,4.4,5.1
Sí,247.0,83.0,76.2,88.2,102.0,87.6,77.8,93.4,145.0,79.4,69.8,86.6
Síntomas relacionados con COVID19*,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Asintomáticos,40202.0,2.5,2.3,2.8,20366.0,2.5,2.2,2.8,19836.0,2.5,2.2,2.8
Paucisintomáticos (1-2 síntomas**),12362.0,4.6,4.1,5.1,5619.0,4.8,4.1,5.5,6743.0,4.4,3.7,5.2
3-5 síntomas**,5431.0,8.2,7.1,9.4,2186.0,9.9,8.3,11.8,3245.0,6.9,5.8,8.2
>5 síntomas**,1035.0,14.7,11.9,18,366.0,21.6,16.6,27.7,669.0,10.7,7.9,14.3
Anosmia,1867.0,43.3,39.9,46.8,718.0,44.9,40.2,49.8,1149.0,42.2,38.1,46.4
3 o más síntomas* en las últimas 2 semanas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
No,58504.0,4.7,4.4,5,28434.0,4.7,4.3,5.1,30070.0,4.6,4.3,5
Sí,2393.0,14.1,12.0,16.6,821.0,14.0,11.1,17.7,1572.0,14.2,11.7,17.1
