Características generales de los participantes en ENE-Covid19,NA,NA,NA,NA,NA,NA
Variable,Total,NA,Hombres,NA,Mujeres,NA
NA,N,%,N,%,N,%
Total,60897.0,51.96,29255.0,48.04,31642.0,51.96
Edad,NA,NA,NA,NA,NA,NA
<1,268.0,0.44,131.0,0.45,137.0,0.43
43834.0,1693.0,2.78,865.0,2.96,828.0,2.62
43960.0,2857.0,4.69,1534.0,5.24,1323.0,4.18
44118.0,3425.0,5.62,1734.0,5.93,1691.0,5.34
15-19,3221.0,5.29,1590.0,5.43,1631.0,5.15
20-24,2805.0,4.61,1399.0,4.78,1406.0,4.44
25-29,2606.0,4.28,1251.0,4.28,1355.0,4.28
30-34,3050.0,5.01,1437.0,4.91,1613.0,5.1
35-39,4000.0,6.57,1942.0,6.64,2058.0,6.5
40-44,5174.0,8.5,2456.0,8.4,2718.0,8.59
45-49,5330.0,8.75,2594.0,8.87,2736.0,8.65
50-54,5263.0,8.64,2495.0,8.53,2768.0,8.75
55-59,5187.0,8.52,2416.0,8.26,2771.0,8.76
60-64,4560.0,7.49,2233.0,7.63,2327.0,7.35
65-69,3568.0,5.86,1729.0,5.91,1839.0,5.81
70-74,2931.0,4.81,1356.0,4.64,1575.0,4.98
75-79,2161.0,3.55,999.0,3.41,1162.0,3.67
80-84,1410.0,2.32,576.0,1.97,834.0,2.64
85-89,968.0,1.59,371.0,1.27,597.0,1.89
≥90,420.0,0.69,147.0,0.5,273.0,0.86
Nacionalidad,NA,NA,NA,NA,NA,NA
No español,2634.0,4.37,1150.0,3.97,1484.0,4.73
Enfermedad crónica,NA,NA,NA,NA,NA,NA
Si,22225.0,36.5,10666.0,36.46,11559.0,36.53
Situación laboral,NA,NA,NA,NA,NA,NA
Trabajador activo,25713.0,42.23,13610.0,46.53,12103.0,38.26
Desempleado,4465.0,7.33,1900.0,6.5,2565.0,8.11
Estudiante,11628.0,19.1,5809.0,19.86,5819.0,18.39
Jubilado o retirado,11875.0,19.5,6106.0,20.87,5769.0,18.24
Incapacidad laboral,1473.0,2.42,664.0,2.27,809.0,2.56
Tareas del hogar,3366.0,5.53,52.0,0.18,3314.0,10.48
Trab. no remunerado,51.0,0.08,11.0,0.04,40.0,0.13
Otros,2318.0,3.81,1101.0,3.76,1217.0,3.85
Trabajo presencial*,NA,NA,NA,NA,NA,NA
Si,13691.0,53.25,8083.0,59.39,5608.0,46.34
Sector esencial*,NA,NA,NA,NA,NA,NA
Comercio,1652.0,11.88,785.0,9.58,867.0,15.18
Transporte,798.0,5.74,718.0,8.76,80.0,1.4
Cuerpos seguridad,638.0,4.59,562.0,6.86,76.0,1.33
Limpieza,806.0,5.79,206.0,2.51,600.0,10.5
Sanitario con atenc. clínica,1110.0,7.98,257.0,3.13,853.0,14.93
Otros centro  sanitario,1019.0,7.33,281.0,3.43,738.0,12.92
Cuidador pers. dependiente,404.0,2.9,18.0,0.22,386.0,6.76
Otros sectores,7483.0,53.8,5371.0,65.52,2112.0,36.97
NA,NA,NA,NA,NA,NA,NA
* Sólo trabajadores en activo,NA,NA,NA,NA,NA,NA
