Antecedentes relacionados con COVID19 en los participantes,NA,NA,NA,NA,NA,NA
NA,Total,NA,Hombres,NA,Mujeres,NA
NA,N,%,N,%,N,%
Contacto con paciente COVID19,NA,NA,NA,NA,NA,NA
Miembro del hogar,1006.0,1.65,483.0,1.65,523.0,1.65
Familiar/amigo no convive,1463.0,2.4,691.0,2.36,772.0,2.44
Compañero de trabajo,1578.0,2.59,804.0,2.75,774.0,2.45
Personal limpieza/cuidador,82.0,0.13,25.0,0.09,57.0,0.18
Cliente professional ó paciente,938.0,1.54,286.0,0.98,652.0,2.06
Contacto sospecha	COVID19,NA,NA,NA,NA,NA,NA
Miembro del hogar,4495.0,7.38,2179.0,7.45,2316.0,7.32
Familiar/amigo no convive,2347.0,3.85,1009.0,3.45,1338.0,4.23
Compañero de trabajo,2374.0,3.9,1201.0,4.11,1173.0,3.71
Personal limpieza/cuidador,109.0,0.18,30.0,0.1,79.0,0.25
Cliente professional ó paciente,1031.0,1.69,293.0,1.0,738.0,2.33
Viaje fuera de la provincia,NA,NA,NA,NA,NA,NA
Si,7722.0,12.68,4306.0,14.72,3416.0,10.8
Caso compatible COVID19^1,NA,NA,NA,NA,NA,NA
Si,8333.0,13.68,3270.0,11.18,5063.0,16.0
Caso compatible COVID19 reciente^2,NA,NA,NA,NA,NA,NA
Si,2393.0,3.93,821.0,2.81,1572.0,4.97
Información RT-PCR,NA,NA,NA,NA,NA,NA
No me la han hecho,59394.0,97.55,28720.0,98.18,30674.0,96.96
Fue negativa,1246.0,2.05,430.0,1.47,816.0,2.58
Fue positiva	hace	>	15	días,212.0,0.35,88.0,0.3,124.0,0.39
Fue positiva	hace	<	15	días,35.0,0.06,14.0,0.05,21.0,0.07
Fiebre,NA,NA,NA,NA,NA,NA
Si,4967.0,8.16,2316.0,7.92,2651.0,8.38
Escalofríos,NA,NA,NA,NA,NA,NA
Si,4595.0,7.55,1698.0,5.8,2897.0,9.16
Cansancio,NA,NA,NA,NA,NA,NA
Si,5813.0,9.55,2199.0,7.52,3614.0,11.42
Dolor de	garganta,NA,NA,NA,NA,NA,NA
Si,7735.0,12.7,3007.0,10.28,4728.0,14.94
Tos,NA,NA,NA,NA,NA,NA
Si,9630.0,15.82,4325.0,14.78,5305.0,16.77
Sensación de	falta	de	aire,NA,NA,NA,NA,NA,NA
Si,3710.0,6.09,1543.0,5.27,2167.0,6.85
Dolor de cabeza,NA,NA,NA,NA,NA,NA
Si,10576.0,17.37,3961.0,13.54,6615.0,20.91
Naúseas/Vómitos/Diarrea,NA,NA,NA,NA,NA,NA
Si,4921.0,8.08,1995.0,6.82,2926.0,9.25
Anosmia,NA,NA,NA,NA,NA,NA
Si,1867.0,3.07,718.0,2.45,1149.0,3.63
NA,NA,NA,NA,NA,NA,NA
1= Caso COVID19 sospechoso = persona que refiere haber padecido anosmia o 3 o más,NA,NA,NA,NA,NA,NA
síntomas del listado de la tabla desde el 1 de febrero.,NA,NA,NA,NA,NA,NA
2= Caso COVID19 sospechoso reciente = Posible caso COVID19 con síntomas en las últimas dos,NA,NA,NA,NA,NA,NA
semanas,NA,NA,NA,NA,NA,NA
