countrycode,regioncode,regionname,regiontype,regionnotes1, regionnotes2
AF,AFBAL,Balkh - بلخ,Province,Balkh,بلخ
AF,AFBAM,Bāmyān - بامیان,Province,Bāmyān,بامیان
AF,AFBDG,Bādghīs - بادغیس,Province,Bādghīs,بادغیس
AF,AFBDS,Badakhshān - بدخشان,Province,Badakhshān,بدخشان
AF,AFBGL,Baghlān - بغلان,Province,Baghlān,بغلان
AF,AFDAY,Dāykundī - دایکندی,Province,Dāykundī,دایکندی
AF,AFFRA,Farāh - فراه,Province,Farāh,فراه
AF,AFFYB,Fāryāb - فاریاب,Province,Fāryāb,فاریاب
AF,AFGHA,Ghaznī - غزنی,Province,Ghaznī,غزنی
AF,AFGHO,Ghōr - غور,Province,Ghōr,غور
AF,AFHEL,Helmand - هلمند,Province,Helmand,هلمند
AF,AFHER,Herāt - هرات,Province,Herāt,هرات
AF,AFJOW,Jowzjān - جوزجان,Province,Jowzjān,جوزجان
AF,AFKAB,Kābul - کابل,Province,Kābul,کابل
AF,AFKAN,Kandahār - قندهار,Province,Kandahār,قندهار
AF,AFKAP,Kāpīsā - کاپيسا,Province,Kāpīsā,کاپيسا
AF,AFKDZ,Kunduz - قندوز,Province,Kunduz,قندوز
AF,AFKHO,Khōst - خوست‎,Province,Khōst,خوست‎
AF,AFKNR,Kunaṟ - کنر‎,Province,Kunaṟ,کنر‎
AF,AFLAG,Laghmān - لغمان,Province,Laghmān,لغمان
AF,AFLOG,Lōgar - لوگر,Province,Lōgar,لوگر
AF,AFNAN,Nangarhār - ننگرهار‎,Province,Nangarhār,ننگرهار‎
AF,AFNIM,Nīmrōz - نیمروز,Province,Nīmrōz,نیمروز
AF,AFNUR,Nūristān - نورستان,Province,Nūristān,نورستان
AF,AFPAN,Panjshayr - پنجشیر,Province,Panjshayr,پنجشیر
AF,AFPAR,Parwān - پروان,Province,Parwān,پروان
AF,AFPIA,Paktiyā - پکتيا,Province,Paktiyā,پکتيا
AF,AFPKA,Paktīkā - پکتیکا,Province,Paktīkā,پکتیکا
AF,AFSAM,Samangān - سمنگان,Province,Samangān,سمنگان
AF,AFSAR,سرپل - Sar-e Pul,Province,Sar-e Pul,سرپل
AF,AFTAK,Takhār - تخار,Province,Takhār,تخار
AF,AFURU,Uruzgān - اروزگان‎,Province,Uruzgān,اروزگان‎
AF,AFWAR,Wardak - میدان وردگ,Province,Wardak,میدان وردگ
AF,AFZAB,Zābul - زابل,Province,Zābul,زابل
AO,AOBGO,Bengo,Province,,
AO,AOBGU,Benguela,Province,,
AO,AOBIE,Bié,Province,,
AO,AOCAB,Cabinda,Province,,
AO,AOCCU,Cuando-Cubango,Province,,
AO,AOCNN,Cunene,Province,,
AO,AOCNO,Cuanza Norte,Province,,
AO,AOCUS,Cuanza Sul,Province,,
AO,AOHUA,Huambo,Province,,
AO,AOHUI,Huíla,Province,,
AO,AOLNO,Lunda Norte,Province,,
AO,AOLSU,Lunda Sul,Province,,
AO,AOLUA,Luanda,Province,,
AO,AOMAL,Malange,Province,,
AO,AOMOX,Moxico,Province,,
AO,AONAM,Namibe,Province,,
AO,AOUIG,Uíge,Province,,
AO,AOZAI,Zaire,Province,,
AL,AL01,Berat,County,,
AL,AL02,Durrës,County,,
AL,AL03,Elbasan,County,,
AL,AL04,Fier,County,,
AL,AL05,Gjirokastër,County,,
AL,AL06,Korçë,County,,
AL,AL07,Kukës,County,,
AL,AL08,Lezhë,County,,
AL,AL09,Dibër,County,,
AL,AL10,Shkodër,County,,
AL,AL11,Tiranë,County,,
AL,AL12,Vlorë,County,,
AL,ALBR,Berat,District,,
AL,ALBU,Bulqizë,District,,
AL,ALDI,Dibër,District,,
AL,ALDL,Delvinë,District,,
AL,ALDR,Durrës,District,,
AL,ALDV,Devoll,District,,
AL,ALEL,Elbasan,District,,
AL,ALER,Kolonjë,District,,
AL,ALFR,Fier,District,,
AL,ALGJ,Gjirokastër,District,,
AL,ALGR,Gramsh,District,,
AL,ALHA,Has,District,,
AL,ALKA,Kavajë,District,,
AL,ALKB,Kurbin,District,,
AL,ALKC,Kuçovë,District,,
AL,ALKO,Korçë,District,,
AL,ALKR,Krujë,District,,
AL,ALKU,Kukës,District,,
AL,ALLB,Librazhd,District,,
AL,ALLE,Lezhë,District,,
AL,ALLU,Lushnjë,District,,
AL,ALMK,Mallakastër,District,,
AL,ALMM,Malësi e Madhe,District,,
AL,ALMR,Mirditë,District,,
AL,ALMT,Mat,District,,
AL,ALPG,Pogradec,District,,
AL,ALPQ,Peqin,District,,
AL,ALPR,Përmet,District,,
AL,ALPU,Pukë,District,,
AL,ALSH,Shkodër,District,,
AL,ALSK,Skrapar,District,,
AL,ALSR,Sarandë,District,,
AL,ALTE,Tepelenë,District,,
AL,ALTP,Tropojë,District,,
AL,ALTR,Tiranë,District,,
AL,ALVL,Vlorë,District,,
AD,AD02,Canillo,Parish,,
AD,AD03,Encamp,Parish,,
AD,AD04,La Massana,Parish,,
AD,AD05,Ordino,Parish,,
AD,AD06,Sant Julià de Lòria,Parish,,
AD,AD07,Andorra la Vella,Parish,,
AD,AD08,Escaldes-Engordany,Parish,,
AE,AEAJ,Ajmān,Emirate,,
AE,AEAZ,Abū Ȥaby [Abu Dhabi],Emirate,,
AE,AEDU,Dubayy,Emirate,,
AE,AEFU,Al Fujayrah,Emirate,,
AE,AERK,Ra’s al Khaymah,Emirate,,
AE,AESH,Ash Shāriqah,Emirate,,
AE,AEUQ,Umm al Qaywayn,Emirate,,
AR,ARA,Salta,Province,,
AR,ARB,Buenos Aires,Province,,
AR,ARC,Ciudad Autónoma de Buenos Aires,City,,
AR,ARD,San Luis,Province,,
AR,ARE,Entre Rios,Province,,
AR,ARG,Santiago del Estero,Province,,
AR,ARH,Chaco,Province,,
AR,ARJ,San Juan,Province,,
AR,ARK,Catamarca,Province,,
AR,ARL,La Pampa,Province,,
AR,ARM,Mendoza,Province,,
AR,ARN,Misiones,Province,,
AR,ARP,Formosa,Province,,
AR,ARQ,Neuquen,Province,,
AR,ARR,Rio Negro,Province,,
AR,ARS,Santa Fe,Province,,
AR,ART,Tucuman,Province,,
AR,ARU,Chubut,Province,,
AR,ARV,Tierra del Fuego,Province,,
AR,ARW,Corrientes,Province,,
AR,ARX,Cordoba,Province,,
AR,ARY,Jujuy,Province,,
AR,ARZ,Santa Cruz,Province,,
AM,AMAG,Aragacotn,Province,,
AM,AMAR,Ararat,Province,,
AM,AMAV,Armavir,Province,,
