"Timestamp","Bundesland","Wie viele Menschen kennen Sie aus dem Gebiet?","Nach ihrem besten Wissen, von wie vielen dieser Menschen haben Sie erfahren, dass sie Symptome haben, die typischerweise bei COVID-19 auftreten, oder dass sie mit COVID-19 diagnostiziert wurden?"
"2020/03/23 6:37:46 PM GMT+1","Rheinland-Pfalz","200","3"
"2020/03/23 10:34:53 PM GMT+1","Rheinland-Pfalz","20","0"
"2020/03/24 10:08:47 AM GMT+1","Ganz Deutschland","16","0"
"2020/03/24 10:30:17 AM GMT+1","Berlin","50","1"
"2020/03/24 10:30:25 AM GMT+1","Sachsen","150","0"
"2020/03/24 11:28:47 AM GMT+1","Bayern","100","3"
"2020/03/24 11:47:48 AM GMT+1","Bayern","50","0"
"2020/03/24 12:03:59 PM GMT+1","Ganz Deutschland","30","1"
"2020/03/24 12:05:20 PM GMT+1","Sachsen","20","0"
"2020/03/24 12:50:13 PM GMT+1","Hessen","100","1"
"2020/03/24 12:56:33 PM GMT+1","Ganz Deutschland","200","7"
"2020/03/24 1:16:21 PM GMT+1","Ganz Deutschland","300","0"
"2020/03/24 1:21:11 PM GMT+1","Ganz Deutschland","54","1"
"2020/03/24 2:15:07 PM GMT+1","Nordrhein-Westfalen","100","0"
"2020/03/24 2:27:27 PM GMT+1","Hessen","13","2"
"2020/03/24 3:35:45 PM GMT+1","Ganz Deutschland","200","0"
"2020/03/24 3:42:37 PM GMT+1","Nordrhein-Westfalen","1000","2"
"2020/03/24 3:47:25 PM GMT+1","Bayern","100","0"
"2020/03/24 4:04:32 PM GMT+1","Bayern","100","0"
