"Timestamp","Por favor, elige una región.","¿Cuánta gente conoces en ese área geográfica?","Por lo que sabes, ¿cuánta de esta gente ha presentado síntomas compatible con COVID-19 (o han sido diagnosticados con la enfermedad)?"
"2020/03/22 8:33:49 PM GMT+1","Todo el país","20","0"
"2020/03/22 10:38:06 PM GMT+1","Región Metropolitana de Santiago","500","2"
"2020/03/22 10:53:14 PM GMT+1","Región Metropolitana de Santiago","30","0"
"2020/03/22 11:02:44 PM GMT+1","Región Metropolitana de Santiago","100","2"
"2020/03/22 11:11:18 PM GMT+1","Región Metropolitana de Santiago","100","2"
"2020/03/22 11:21:45 PM GMT+1","Región Metropolitana de Santiago","100","0"
"2020/03/22 11:24:40 PM GMT+1","Región Metropolitana de Santiago","150","0"
"2020/03/22 11:37:04 PM GMT+1","Región Metropolitana de Santiago","300","1"
"2020/03/22 11:38:01 PM GMT+1","Región Metropolitana de Santiago","70","1"
"2020/03/22 11:52:40 PM GMT+1","Todo el país","200","0"
"2020/03/22 11:57:47 PM GMT+1","Región Metropolitana de Santiago","300","0"
"2020/03/23 12:38:12 AM GMT+1","Región Metropolitana de Santiago","100","0"
"2020/03/23 12:45:36 AM GMT+1","Región Metropolitana de Santiago","150","0"
"2020/03/23 1:16:53 AM GMT+1","Región Metropolitana de Santiago","50","3"
"2020/03/23 1:22:08 AM GMT+1","Región Metropolitana de Santiago","60","0"
"2020/03/23 2:08:25 AM GMT+1","Región Metropolitana de Santiago","100","0"
"2020/03/23 4:04:16 AM GMT+1","Región Metropolitana de Santiago","46","0"
"2020/03/23 4:18:46 PM GMT+1","Región de los Ríos","5","0"
"2020/03/23 9:16:22 PM GMT+1","Región Metropolitana de Santiago","100","1"
"2020/03/23 10:10:06 PM GMT+1","Región del Biobío","7","0"
"2020/03/24 12:04:04 AM GMT+1","Región Metropolitana de Santiago","100","0"
