"Timestamp","Please, choose a county","How many people do you know in this geographical area?","As far as you know, how many of the above have symptoms compatible with COVID-19 (or were diagnosed with the disease)?"
"2020/03/25 8:10:35 PM GMT+1","City of London","50","2"
"2020/03/26 9:21:04 AM GMT+1","City of Glasgow","20","2"
"2020/03/26 9:39:27 AM GMT+1","Midlothian","100","0"
"2020/03/26 9:44:29 AM GMT+1","Scotland","12","0"
"2020/03/26 9:47:25 AM GMT+1","East Lothian","2","0"
"2020/03/26 9:48:23 AM GMT+1","West Lothian","5","0"
"2020/03/26 10:17:24 AM GMT+1","City of Edinburgh","20","0"
"2020/03/26 10:22:15 AM GMT+1","Fife","14","0"
"2020/03/26 10:28:00 AM GMT+1","City of Edinburgh","100","0"
"2020/03/26 10:36:59 AM GMT+1","City of Edinburgh","100","2"
"2020/03/26 10:38:54 AM GMT+1","Midlothian","25","0"
"2020/03/26 11:07:43 AM GMT+1","Cambridgeshire","4","2"
"2020/03/26 11:15:33 AM GMT+1","Entire country","100","7"
"2020/03/26 11:22:44 AM GMT+1","Midlothian","45","0"
"2020/03/26 11:35:31 AM GMT+1","Scotland","50","1"
"2020/03/26 12:09:16 PM GMT+1","Midlothian","30","2"
"2020/03/26 1:04:53 PM GMT+1","City of Edinburgh","20","0"
"2020/03/26 1:35:36 PM GMT+1","Midlothian","30","0"
"2020/03/26 2:17:38 PM GMT+1","Midlothian","4","0"
"2020/03/26 2:25:15 PM GMT+1","City of Edinburgh","20","2"
"2020/03/26 2:35:43 PM GMT+1","City of Edinburgh","25","0"
"2020/03/26 10:13:55 PM GMT+1","Entire country","20","3"
"2020/03/27 10:07:31 AM GMT+1","East Lothian","20","0"
"2020/03/27 10:23:31 AM GMT+1","Scotland","30","0"
"2020/03/27 12:58:41 PM GMT+1","Scotland","50","0"
