"Timestamp","Por favor, elige una región.","¿Cuánta gente conoces en ese área geográfica?","Por lo que sabes, ¿cuánta de esta gente ha presentado síntomas compatible con COVID-19 (o han sido diagnosticados con la enfermedad)?"
"2020/03/25 10:07:04 PM GMT+1","Ciudad Autónoma de Buenos Aires","110","0"
"2020/03/25 10:08:33 PM GMT+1","Ciudad Autónoma de Buenos Aires","15","0"
"2020/03/25 10:15:08 PM GMT+1","Provincia de Buenos Aires","100","0"
"2020/03/25 10:39:40 PM GMT+1","Provincia de Buenos Aires","100","0"
"2020/03/25 10:40:44 PM GMT+1","Provincia de Buenos Aires","30","0"
"2020/03/25 10:49:18 PM GMT+1","Provincia de Buenos Aires","30","0"
"2020/03/25 10:50:00 PM GMT+1","Provincia de Buenos Aires","100","0"
"2020/03/25 11:05:17 PM GMT+1","Ciudad Autónoma de Buenos Aires","70","0"
"2020/03/26 12:22:13 AM GMT+1","Provincia de Buenos Aires","1000","0"
"2020/03/26 5:42:37 AM GMT+1","Provincia de Buenos Aires","10000","00"
"2020/03/28 2:56:09 PM GMT+1","Provincia de Buenos Aires","300","3"
