"Timestamp","Por favor, elige una región.","¿Cuánta gente conoces en ese área geográfica?","Por lo que sabes, ¿cuánta de esta gente ha presentado síntomas compatible con COVID-19 (o han sido diagnosticados con la enfermedad)?"
"2020/03/25 4:29:09 PM GMT+1","Región de los Ríos","5","0"
"2020/03/25 4:31:27 PM GMT+1","Región del Biobío","10","0"
"2020/03/25 4:50:49 PM GMT+1","Región Metropolitana de Santiago","300","2"
"2020/03/25 4:55:13 PM GMT+1","Región Metropolitana de Santiago","100","1"
"2020/03/25 4:58:41 PM GMT+1","Región Metropolitana de Santiago","500","0"
"2020/03/25 5:00:39 PM GMT+1","Región Metropolitana de Santiago","100","3"
"2020/03/25 5:01:38 PM GMT+1","Todo el país","100","0"
"2020/03/25 5:05:20 PM GMT+1","Región Metropolitana de Santiago","800","0"
"2020/03/25 5:20:01 PM GMT+1","Región Metropolitana de Santiago","200","1"
"2020/03/25 5:39:30 PM GMT+1","Región del Biobío","120","2"
"2020/03/25 6:13:55 PM GMT+1","Región Metropolitana de Santiago","100","0"
"2020/03/25 7:04:20 PM GMT+1","Región Metropolitana de Santiago","90","0"
"2020/03/25 7:09:34 PM GMT+1","Región Metropolitana de Santiago","30","1"
"2020/03/25 7:59:06 PM GMT+1","Región de Coquimbo","50","0"
"2020/03/26 12:23:43 AM GMT+1","Región de Coquimbo","50","0"
"2020/03/26 2:09:47 AM GMT+1","Región del Biobío","200","0"
"2020/03/26 9:11:01 PM GMT+1","Región del Biobío","20","0"
"2020/03/26 9:19:51 PM GMT+1","Región del Biobío","20","0"
"2020/03/27 2:03:42 AM GMT+1","Todo el país","20","0"
"2020/03/27 2:33:11 AM GMT+1","Región de Ñuble","10","0"
