"Timestamp","Por favor, elige una región.","¿Cuánta gente conoces en ese área geográfica?","Por lo que sabes, ¿cuánta de esta gente ha presentado síntomas compatible con COVID-19 (o han sido diagnosticados con la enfermedad)?"
"2020/03/24 3:47:42 AM GMT+1","Ciudad Autónoma de Buenos Aires","1000","0"
"2020/03/24 2:36:39 PM GMT+1","Ciudad Autónoma de Buenos Aires","100","1"
"2020/03/24 2:41:56 PM GMT+1","Ciudad Autónoma de Buenos Aires","10","0"
"2020/03/24 2:42:03 PM GMT+1","Ciudad Autónoma de Buenos Aires","110","0"
"2020/03/24 3:25:10 PM GMT+1","Ciudad Autónoma de Buenos Aires","100","0"
"2020/03/24 3:29:32 PM GMT+1","Ciudad Autónoma de Buenos Aires","50","0"
"2020/03/24 3:36:43 PM GMT+1","Ciudad Autónoma de Buenos Aires","100","0"
"2020/03/24 3:37:01 PM GMT+1","Provincia de Córdoba","50","0"
"2020/03/24 3:38:36 PM GMT+1","Ciudad Autónoma de Buenos Aires","10","0"
"2020/03/24 3:42:24 PM GMT+1","Provincia de Buenos Aires","20","0"
"2020/03/24 3:44:36 PM GMT+1","Ciudad Autónoma de Buenos Aires","60","0"
"2020/03/24 3:47:32 PM GMT+1","Provincia de Buenos Aires","100","0"
"2020/03/24 4:04:16 PM GMT+1","Ciudad Autónoma de Buenos Aires"," 150","0"
"2020/03/24 4:04:46 PM GMT+1","Provincia de Buenos Aires","60 ","0"
"2020/03/24 4:06:35 PM GMT+1","Ciudad Autónoma de Buenos Aires","15","0"
"2020/03/24 4:06:39 PM GMT+1","Provincia de Buenos Aires","120","1"
"2020/03/24 4:23:53 PM GMT+1","Provincia de Córdoba","100","0"
"2020/03/24 4:25:23 PM GMT+1","Ciudad Autónoma de Buenos Aires","40","0"
"2020/03/24 4:28:10 PM GMT+1","Ciudad Autónoma de Buenos Aires","60","0"
"2020/03/24 4:28:27 PM GMT+1","Provincia de Buenos Aires","500","0"
"2020/03/24 4:28:32 PM GMT+1","Provincia de Buenos Aires","500","0"
"2020/03/24 4:29:11 PM GMT+1","Ciudad Autónoma de Buenos Aires","150","0"
"2020/03/24 4:30:43 PM GMT+1","Provincia de Buenos Aires","100","0"
"2020/03/24 4:30:56 PM GMT+1","Ciudad Autónoma de Buenos Aires","Wt","25"
"2020/03/24 4:32:38 PM GMT+1","Provincia de Buenos Aires","15","0"
"2020/03/24 4:34:06 PM GMT+1","Provincia de Buenos Aires","100","0"
"2020/03/24 4:35:04 PM GMT+1","Provincia de Buenos Aires","6","0"
"2020/03/24 4:54:53 PM GMT+1","Ciudad Autónoma de Buenos Aires","80","0"
"2020/03/24 6:36:04 PM GMT+1","Ciudad Autónoma de Buenos Aires","300","0"
"2020/03/24 10:22:48 PM GMT+1","Ciudad Autónoma de Buenos Aires","250","0"
"2020/03/24 11:22:43 PM GMT+1","Provincia de Buenos Aires","30","0"
"2020/03/25 1:53:27 AM GMT+1","Provincia de Buenos Aires","500","0"
"2020/03/25 2:07:57 AM GMT+1","Provincia del Neuquén","20","0"
