"date" "region" "reach" "cases"
"115" "2020/03/24 10:02:14 PM GMT+1" "Cataluña" 2000 2
"116" "2020/03/24 10:03:35 PM GMT+1" "Comunidad de Madrid" 306 6
"118" "2020/03/24 10:04:18 PM GMT+1" "Comunidad de Madrid" 1500 8
"119" "2020/03/24 10:10:12 PM GMT+1" "Cataluña" 500 4
"152" "2020/03/25 12:24:43 PM GMT+1" "Comunidad de Madrid" 500 5
"153" "2020/03/25 12:24:44 PM GMT+1" "Castilla-La Mancha" 500 5
"177" "2020/03/25 12:25:53 PM GMT+1" "Comunidad de Madrid" 1000 10
"217" "2020/03/25 12:29:29 PM GMT+1" "Cantabria" 1000 1000
"233" "2020/03/25 12:33:43 PM GMT+1" "Comunidad de Madrid" 400 120
"238" "2020/03/25 12:36:15 PM GMT+1" "Comunidad de Madrid" 400 10
"252" "2020/03/25 12:42:15 PM GMT+1" "Aragón" 1000 1
"266" "2020/03/25 12:50:29 PM GMT+1" "Canarias" 1000 2
"338" "2020/03/25 2:01:05 PM GMT+1" "Andalucía" 1000 0
"340" "2020/03/25 2:02:21 PM GMT+1" "Castilla-La Mancha" 500 159
"date" "region" "reach" "cases"
"5" "2020/03/24 11:50:40 AM GMT+1" "País Vasco" 10000 1
"9" "2020/03/24 11:52:28 AM GMT+1" "Comunidad de Madrid" 1000 20
"14" "2020/03/24 11:56:50 AM GMT+1" "Comunidad de Madrid" 1000 100
"22" "2020/03/24 12:04:29 PM GMT+1" "Andalucía" 1000 0
"24" "2020/03/24 12:12:41 PM GMT+1" "Comunidad de Madrid" 400 140
"38" "2020/03/24 12:55:51 PM GMT+1" "Todo el país" 1000 1
"39" "2020/03/24 12:59:33 PM GMT+1" "Todo el país" 2000 4
"43" "2020/03/24 1:16:22 PM GMT+1" "Castilla-La Mancha" 500 0
"70" "2020/03/24 2:40:09 PM GMT+1" "Comunidad de Madrid" 1000 10
"81" "2020/03/24 4:25:14 PM GMT+1" "Castilla-La Mancha" 1500 8
"84" "2020/03/24 6:18:17 PM GMT+1" "Comunidad de Madrid" 3000 30
"87" "2020/03/24 7:03:39 PM GMT+1" "Comunidad de Madrid" 500 13
"96" "2020/03/24 8:44:41 PM GMT+1" "Cataluña" 4000 25
"99" "2020/03/24 8:59:06 PM GMT+1" "Comunidad de Madrid" 500 3
"107" "2020/03/24 9:19:02 PM GMT+1" "Castilla-La Mancha" 1000 13
"109" "2020/03/24 9:23:11 PM GMT+1" "Extremadura" 10000 4
"115" "2020/03/24 10:02:14 PM GMT+1" "Cataluña" 2000 2
"116" "2020/03/24 10:03:35 PM GMT+1" "Comunidad de Madrid" 306 6
"118" "2020/03/24 10:04:18 PM GMT+1" "Comunidad de Madrid" 1500 8
"119" "2020/03/24 10:10:12 PM GMT+1" "Cataluña" 500 4
"152" "2020/03/25 12:24:43 PM GMT+1" "Comunidad de Madrid" 500 5
"153" "2020/03/25 12:24:44 PM GMT+1" "Castilla-La Mancha" 500 5
"177" "2020/03/25 12:25:53 PM GMT+1" "Comunidad de Madrid" 1000 10
"217" "2020/03/25 12:29:29 PM GMT+1" "Cantabria" 1000 1000
"233" "2020/03/25 12:33:43 PM GMT+1" "Comunidad de Madrid" 400 120
"238" "2020/03/25 12:36:15 PM GMT+1" "Comunidad de Madrid" 400 10
"252" "2020/03/25 12:42:15 PM GMT+1" "Aragón" 1000 1
"266" "2020/03/25 12:50:29 PM GMT+1" "Canarias" 1000 2
"338" "2020/03/25 2:01:05 PM GMT+1" "Andalucía" 1000 0
"340" "2020/03/25 2:02:21 PM GMT+1" "Castilla-La Mancha" 500 159
