"Timestamp","Per favore, scegli una regione","Quante persone conosci in questa area geografica?","Per quanto ne sai, quante persone tra quelle sopra hanno sintomi compatibili con COVID-19, o sono risultati positivi per questa malattia?"
"2020/03/25 2:17:43 PM GMT+1","Emilia-Romagna","100","0"
"2020/03/25 2:18:51 PM GMT+1","Emilia-Romagna","200","0"
"2020/03/25 2:18:52 PM GMT+1","Emilia-Romagna","100","2"
"2020/03/25 2:19:24 PM GMT+1","Veneto","200","0"
"2020/03/25 2:24:01 PM GMT+1","Emilia-Romagna","100","1"
"2020/03/25 2:27:47 PM GMT+1","Veneto","20","0"
"2020/03/25 2:31:37 PM GMT+1","Lombardia","15","4"
"2020/03/25 2:33:49 PM GMT+1","Emilia-Romagna","100","0"
"2020/03/25 2:37:03 PM GMT+1","Emilia-Romagna","100","1"
"2020/03/25 2:41:36 PM GMT+1","Emilia-Romagna","500","2"
"2020/03/25 2:48:26 PM GMT+1","Emilia-Romagna","15","0"
"2020/03/25 2:49:24 PM GMT+1","Lazio","40","1"
"2020/03/25 2:50:24 PM GMT+1","Emilia-Romagna","20","0"
"2020/03/25 2:50:44 PM GMT+1","Emilia-Romagna","25","0"
"2020/03/25 2:51:10 PM GMT+1","Lazio","300","0"
"2020/03/25 2:51:15 PM GMT+1","Emilia-Romagna","60","0"
"2020/03/25 2:57:09 PM GMT+1","Liguria","400","1"
"2020/03/25 2:58:09 PM GMT+1","Trentino-Alto Adige","6","0"
"2020/03/25 2:59:24 PM GMT+1","Emilia-Romagna","70","1"
"2020/03/25 3:01:17 PM GMT+1","Emilia-Romagna","25","0"
"2020/03/25 3:03:03 PM GMT+1","Emilia-Romagna","45","0"
"2020/03/25 3:04:44 PM GMT+1","Emilia-Romagna","150","0"
"2020/03/25 3:06:00 PM GMT+1","Emilia-Romagna","100","1"
"2020/03/25 3:06:40 PM GMT+1","Emilia-Romagna","20","0"
"2020/03/25 3:09:22 PM GMT+1","Toscana","40","0"
"2020/03/25 3:12:39 PM GMT+1","Veneto","70","0"
"2020/03/25 3:14:56 PM GMT+1","Emilia-Romagna","3000","0"
"2020/03/25 3:16:36 PM GMT+1","Veneto","20","0"
"2020/03/25 3:16:59 PM GMT+1","Veneto","20","0"
"2020/03/25 3:18:49 PM GMT+1","Veneto","30","0"
"2020/03/25 3:20:05 PM GMT+1","Veneto","10","0"
"2020/03/25 3:27:11 PM GMT+1","Veneto","7","0"
"2020/03/25 3:27:31 PM GMT+1","Trentino-Alto Adige","150","3"
"2020/03/25 3:28:54 PM GMT+1","Veneto","50","2"
"2020/03/25 3:29:01 PM GMT+1","Lombardia","10","0"
"2020/03/25 3:29:52 PM GMT+1","Veneto","100","0"
"2020/03/25 3:33:28 PM GMT+1","Emilia-Romagna","50","0"
"2020/03/25 3:34:34 PM GMT+1","Trentino-Alto Adige","50","4"
"2020/03/25 3:37:16 PM GMT+1","Trentino-Alto Adige","100","1"
"2020/03/25 3:37:25 PM GMT+1","Veneto","200","3"
"2020/03/25 3:37:31 PM GMT+1","Emilia-Romagna","50","0"
"2020/03/25 3:45:04 PM GMT+1","Veneto","50","0"
"2020/03/25 3:46:01 PM GMT+1","Emilia-Romagna","60","6"
"2020/03/25 3:46:15 PM GMT+1","Veneto","10","0"
"2020/03/25 3:47:42 PM GMT+1","Veneto","100","0"
"2020/03/25 3:56:45 PM GMT+1","Emilia-Romagna","600","0"
"2020/03/25 4:20:15 PM GMT+1","Emilia-Romagna","40","0"
"2020/03/25 4:25:03 PM GMT+1","Veneto","10","0"
"2020/03/25 4:28:52 PM GMT+1","Lombardia","100","3"
"2020/03/25 4:29:07 PM GMT+1","Lombardia","100","3"
"2020/03/25 4:42:53 PM GMT+1","Emilia-Romagna","20","3"
"2020/03/25 4:43:10 PM GMT+1","Veneto","15","5"
"2020/03/25 4:47:07 PM GMT+1","Veneto","100","1"
"2020/03/25 4:50:39 PM GMT+1","Veneto","25","3"
"2020/03/25 4:52:20 PM GMT+1","Emilia-Romagna","400","0"
"2020/03/25 4:57:03 PM GMT+1","Veneto","10","0"
"2020/03/25 4:58:16 PM GMT+1","Veneto","18","5"
"2020/03/25 5:12:31 PM GMT+1","Emilia-Romagna","50","3"
"2020/03/25 5:14:38 PM GMT+1","Emilia-Romagna","100","0"
"2020/03/25 5:16:40 PM GMT+1","Tutta la nazione","100","0"
"2020/03/25 5:27:15 PM GMT+1","Emilia-Romagna","10","1"
"2020/03/25 5:31:18 PM GMT+1","Emilia-Romagna","60","0"
"2020/03/25 5:32:05 PM GMT+1","Emilia-Romagna","60","0"
"2020/03/25 6:02:03 PM GMT+1","Friuli-Venezia Giulia","40","0"
"2020/03/25 6:09:17 PM GMT+1","Emilia-Romagna","50","0"
