"Timestamp","Per favore, scegli una regione","Quante persone conosci in questa area geografica?","Per quanto ne sai, quante persone tra quelle sopra hanno sintomi compatibili con COVID-19, o sono risultati positivi per questa malattia?"
"2020/03/27 5:20:44 PM GMT+2","Emilia-Romagna","250","0"
"2020/03/27 5:20:50 PM GMT+2","Emilia-Romagna","50","1"
"2020/03/27 5:21:11 PM GMT+2","Emilia-Romagna","50","0"
"2020/03/27 5:21:31 PM GMT+2","Emilia-Romagna","50","0"
"2020/03/27 5:24:50 PM GMT+2","Tutta la nazione","20","0"
"2020/03/27 5:25:24 PM GMT+2","Veneto","10","0"
"2020/03/27 5:30:51 PM GMT+2","Veneto","100 "," 1"
"2020/03/27 5:31:09 PM GMT+2","Emilia-Romagna","50","6"
"2020/03/27 5:34:43 PM GMT+2","Trentino-Alto Adige","5","0"
"2020/03/27 5:42:17 PM GMT+2","Veneto","180","0"
"2020/03/27 5:44:10 PM GMT+2","Veneto","30","4"
"2020/03/27 5:44:55 PM GMT+2","Veneto","20","5"
"2020/03/27 5:54:00 PM GMT+2","Liguria","400","1"
"2020/03/27 5:58:48 PM GMT+2","Veneto","25","6"
"2020/03/27 6:05:42 PM GMT+2","Veneto","50","0"
"2020/03/27 6:11:33 PM GMT+2","Emilia-Romagna","400","3"
"2020/03/27 6:15:13 PM GMT+2","Lazio","30","2"
"2020/03/27 6:15:31 PM GMT+2","Veneto","10","0"
"2020/03/27 6:25:17 PM GMT+2","Emilia-Romagna","20","1"
"2020/03/27 6:48:18 PM GMT+2","Tutta la nazione","100","4"
"2020/03/27 6:57:15 PM GMT+2","Lazio","40","1"
"2020/03/27 7:32:30 PM GMT+2","Emilia-Romagna","500","0"
"2020/03/27 7:40:04 PM GMT+2","Veneto","70","0"
"2020/03/27 8:04:26 PM GMT+2","Veneto","50","0"
"2020/03/27 8:04:38 PM GMT+2","Veneto","50","0"
"2020/03/27 8:17:56 PM GMT+2","Emilia-Romagna","30","0"
"2020/03/27 9:30:05 PM GMT+2","Veneto","50","0"
"2020/03/28 12:32:46 AM GMT+2","Veneto","30","0"
"2020/03/28 1:24:14 AM GMT+2","Emilia-Romagna","200","1"
"2020/03/28 1:33:53 AM GMT+2","Veneto","200","0"
"2020/03/28 1:39:57 AM GMT+2","Lombardia","1500","5"
"2020/03/28 8:06:21 AM GMT+2","Emilia-Romagna","50","0"
"2020/03/28 12:35:07 PM GMT+2","Emilia-Romagna","20","0"
"2020/03/28 3:47:45 PM GMT+2","Toscana","50","0"
