"Timestamp","Please, choose a county","How many people do you know in this geographical area?","As far as you know, how many of the above have symptoms compatible with COVID-19 (or were diagnosed with the disease)?"
"2020/03/23 1:17:21 PM GMT+1","Midlothian","10","2"
"2020/03/23 1:18:38 PM GMT+1","Fife","12","0"
"2020/03/23 1:18:44 PM GMT+1","East Lothian","40","0"
"2020/03/23 1:19:41 PM GMT+1","Midlothian","20","0"
"2020/03/23 1:19:50 PM GMT+1","Midlothian","20","2"
"2020/03/23 1:19:55 PM GMT+1","Peebleshire","15","0"
"2020/03/23 1:20:23 PM GMT+1","Midlothian","40","0"
"2020/03/23 1:20:24 PM GMT+1","Midlothian","40","3"
"2020/03/23 1:20:35 PM GMT+1","East Lothian","10","0"
"2020/03/23 1:21:24 PM GMT+1","Fife","20","0"
"2020/03/23 1:21:46 PM GMT+1","Fife","5","0"
"2020/03/23 1:22:19 PM GMT+1","East Lothian","4","0"
"2020/03/23 1:22:54 PM GMT+1","Sussex","20","5"
"2020/03/23 1:24:06 PM GMT+1","Entire country","15","5"
"2020/03/23 1:24:40 PM GMT+1","East Lothian","50","2"
"2020/03/23 1:25:30 PM GMT+1","Cornwall","20","0"
"2020/03/23 1:27:43 PM GMT+1","Hamshire","15","1"
"2020/03/23 1:27:49 PM GMT+1","Cambridgeshire","5","0"
"2020/03/23 1:27:54 PM GMT+1","East Lothian","15","0"
"2020/03/23 1:30:12 PM GMT+1","Midlothian","45","0"
"2020/03/23 1:32:38 PM GMT+1","Midlothian","15","0"
"2020/03/23 1:33:06 PM GMT+1","Somerset","4","1"
"2020/03/23 1:39:00 PM GMT+1","Midlothian","40","0"
"2020/03/23 1:41:43 PM GMT+1","Midlothian","40","0"
"2020/03/23 1:42:54 PM GMT+1","Midlothian","10","1"
"2020/03/23 1:45:04 PM GMT+1","Midlothian","25","0"
"2020/03/23 1:53:30 PM GMT+1","Midlothian","15","0"
"2020/03/23 1:54:19 PM GMT+1","West Lothian","150","0"
"2020/03/23 1:57:23 PM GMT+1","Midlothian","6","1"
"2020/03/23 1:58:58 PM GMT+1","Fife","10","0"
"2020/03/23 2:03:31 PM GMT+1","Midlothian","3","0"
"2020/03/23 2:04:38 PM GMT+1","Fife","30","0"
"2020/03/23 2:06:06 PM GMT+1","Midlothian","20","0"
"2020/03/23 2:10:56 PM GMT+1","Midlothian","8","1"
"2020/03/23 2:17:49 PM GMT+1","Midlothian","15","0"
"2020/03/23 2:23:29 PM GMT+1","Midlothian","20","0"
"2020/03/23 2:24:43 PM GMT+1","East Lothian","10","0"
"2020/03/23 2:27:10 PM GMT+1","Midlothian","34","2"
"2020/03/23 2:27:22 PM GMT+1","Midlothian","20","0"
"2020/03/23 2:32:54 PM GMT+1","Midlothian","50","10"
"2020/03/23 2:37:14 PM GMT+1","Lanarkshire","100","3"
"2020/03/23 2:41:16 PM GMT+1","Midlothian","50","1"
"2020/03/23 2:44:48 PM GMT+1","Midlothian","40","2"
"2020/03/23 2:45:01 PM GMT+1","Midlothian","21","1"
"2020/03/23 3:08:11 PM GMT+1","Midlothian","200","2"
"2020/03/23 3:12:18 PM GMT+1","Midlothian","100","0"
"2020/03/23 3:41:08 PM GMT+1","City of Edinburgh","10","0"
"2020/03/23 3:41:59 PM GMT+1","West Lothian","20","0"
"2020/03/23 3:50:20 PM GMT+1","City of Edinburgh","3","0"
"2020/03/23 3:53:20 PM GMT+1","Scotland","8","0"
"2020/03/23 3:53:39 PM GMT+1","West Midlands","20","0"
"2020/03/23 4:26:26 PM GMT+1","City of Edinburgh","50","0"
"2020/03/23 4:33:08 PM GMT+1","Midlothian","6","0"
"2020/03/23 4:55:53 PM GMT+1","City of Glasgow","4","0"
"2020/03/23 5:17:24 PM GMT+1","Greater London","50","1"
"2020/03/23 5:23:38 PM GMT+1","City of Edinburgh","20","0"
"2020/03/23 5:33:42 PM GMT+1","Greater London","200","0"
"2020/03/23 5:34:15 PM GMT+1","Cambridgeshire","5","0"
"2020/03/23 5:42:02 PM GMT+1","Hertfordshire","1","0"
"2020/03/23 5:51:33 PM GMT+1","Greater London","20","1"
"2020/03/23 6:06:54 PM GMT+1","West Yorkshire","300","1"
"2020/03/23 6:24:23 PM GMT+1","Scotland","10","0"
"2020/03/23 6:27:06 PM GMT+1","City of Edinburgh","100","0"
"2020/03/23 6:50:28 PM GMT+1","Highland","40","0"
"2020/03/23 6:51:15 PM GMT+1","West Lothian","15","2"
"2020/03/23 8:33:34 PM GMT+1","England","50","0"
"2020/03/23 9:02:21 PM GMT+1","North Lanarkshire","5","0"
"2020/03/23 10:33:11 PM GMT+1","City of Glasgow","20","2"
"2020/03/24 12:03:47 AM GMT+1","City of Edinburgh","8","0"
"2020/03/24 1:46:00 AM GMT+1","City of Edinburgh","20","0"
"2020/03/24 3:19:39 AM GMT+1","City of Edinburgh","10","2"
"2020/03/24 1:18:36 PM GMT+1","England","12","0"
"2020/03/24 3:55:15 PM GMT+1","East Lothian","2","0"
"2020/03/24 4:26:04 PM GMT+1","Scotland","50","5"
"2020/03/24 4:32:56 PM GMT+1","City of Edinburgh","100","2"
"2020/03/24 4:58:22 PM GMT+1","City of Edinburgh","4","0"
