"Timestamp","Por favor, escolha um distrito/região.","Quantas pessoas conhece nessa área geográfica?","De acordo com o seu conhecimento, quantas destas pessoas apresentam sintomas compatíveis com COVID-19 (ou foram diagnosticadas com esta doença)?"
"2020/03/29 8:19:29 PM GMT+1","Braga","150","0"
"2020/03/29 8:51:40 PM GMT+1","Todo o país","1000","0"
"2020/03/29 8:52:38 PM GMT+1","Lisboa","600","0"
"2020/03/29 9:01:24 PM GMT+1","Lisboa","50","4"
"2020/03/29 9:37:56 PM GMT+1","Porto","20","1"
"2020/03/29 10:29:07 PM GMT+1","Porto","100","2"
"2020/03/29 11:42:04 PM GMT+1","Lisboa","100","0"
"2020/03/30 12:57:23 AM GMT+1","Coimbra","80","0"
"2020/03/30 1:25:46 AM GMT+1","Leiria","15","0"
"2020/03/30 1:56:59 AM GMT+1","Lisboa","100","0"
"2020/03/30 10:54:34 AM GMT+1","Lisboa","100","0"
"2020/03/30 1:59:12 PM GMT+1","Braga","200","0"
"2020/03/30 3:11:43 PM GMT+1","Braga","50","0"
"2020/03/30 3:18:37 PM GMT+1","Braga","20","0"
"2020/03/30 11:36:53 PM GMT+1","Setúbal","5000","0"
"2020/03/31 2:01:13 PM GMT+1","Braga","2000","1"
"2020/03/31 2:33:00 PM GMT+1","Lisboa","500","0"
"2020/03/31 2:36:04 PM GMT+1","Lisboa","100","0"
"2020/03/31 2:36:56 PM GMT+1","Lisboa","300","0"
"2020/03/31 2:46:17 PM GMT+1","Lisboa","100","8"
"2020/03/31 8:21:34 PM GMT+1","Braga","100","0"
