"Timestamp","Veuillez choisir un département ou « Toute la France »","Combien de personnes connaissez-vous approximativement dans cette zone géographique ? ","À votre connaissance, combien des personnes ci-dessus présentent des symptômes compatibles avec la COVID-19 (ou ont été diagnostiquées avec cette maladie) ? "
"2020/03/29 1:38:53 am EET","35 Ille-et-Vilaine","150","1"
"2020/03/29 2:29:47 am EET","35 Ille-et-Vilaine","20","0"
"2020/03/29 8:49:10 am EET","Toute la France","50","0"
"2020/03/29 10:25:33 am EET","35 Ille-et-Vilaine","1000","0"
"2020/03/29 10:43:46 am EET","35 Ille-et-Vilaine","30","0"
"2020/03/29 2:46:36 pm EET","Toute la France","100","2"
"2020/03/29 3:48:20 pm EET","35 Ille-et-Vilaine","40","1"
"2020/03/29 4:04:51 pm EET","35 Ille-et-Vilaine","100","11"
"2020/03/29 5:38:27 pm EET","59 Nord","100","1"
"2020/03/29 6:13:28 pm EET","35 Ille-et-Vilaine","50","0"
"2020/03/29 7:21:18 pm EET","91 Essonne","30","2"
"2020/03/29 7:40:41 pm EET","Toute la France","900","4"
"2020/03/29 9:48:14 pm EET","Toute la France","100","3"
"2020/03/29 10:22:42 pm EET","35 Ille-et-Vilaine","200","0"
